[2026-03-22 17:25:18.729] [INFO] [TIME] Funding in 04:41.270
[2026-03-22 17:25:18.830] [INFO] [TIME] Funding in 04:41.169
[2026-03-22 17:25:18.933] [INFO] [TIME] Funding in 04:41.066
[2026-03-22 17:25:19.037] [INFO] [TIME] Funding in 04:40.962
[2026-03-22 17:25:19.139] [INFO] [TIME] Funding in 04:40.861
[2026-03-22 17:25:19.245] [INFO] [TIME] Funding in 04:40.754
[2026-03-22 17:25:19.346] [INFO] [TIME] Funding in 04:40.653
[2026-03-22 17:25:19.448] [INFO] [TIME] Funding in 04:40.551
[2026-03-22 17:25:19.549] [INFO] [TIME] Funding in 04:40.450
[2026-03-22 17:25:19.651] [INFO] [TIME] Funding in 04:40.348
[2026-03-22 17:25:19.753] [INFO] [TIME] Funding in 04:40.247
[2026-03-22 17:25:19.853] [INFO] [TIME] Funding in 04:40.146
[2026-03-22 17:25:19.954] [INFO] [TIME] Funding in 04:40.045
[2026-03-22 17:25:20.055] [INFO] [TIME] Funding in 04:39.944
[2026-03-22 17:25:20.155] [INFO] [TIME] Funding in 04:39.844
[2026-03-22 17:25:20.256] [INFO] [TIME] Funding in 04:39.743
[2026-03-22 17:25:20.357] [INFO] [TIME] Funding in 04:39.642
[2026-03-22 17:25:20.457] [INFO] [TIME] Funding in 04:39.542
[2026-03-22 17:25:20.561] [INFO] [TIME] Funding in 04:39.438
[2026-03-22 17:25:20.685] [INFO] [TIME] Funding in 04:39.314
[2026-03-22 17:25:20.797] [INFO] [TIME] Funding in 04:39.202
[2026-03-22 17:25:20.897] [INFO] [TIME] Funding in 04:39.102
[2026-03-22 17:25:20.999] [INFO] [TIME] Funding in 04:39.000
[2026-03-22 17:25:21.100] [INFO] [TIME] Funding in 04:38.899
[2026-03-22 17:25:21.201] [INFO] [TIME] Funding in 04:38.798
[2026-03-22 17:25:21.302] [INFO] [TIME] Funding in 04:38.697
[2026-03-22 17:25:21.403] [INFO] [TIME] Funding in 04:38.596
[2026-03-22 17:25:21.504] [INFO] [TIME] Funding in 04:38.495
[2026-03-22 17:25:21.605] [INFO] [TIME] Funding in 04:38.395
[2026-03-22 17:25:21.705] [INFO] [TIME] Funding in 04:38.294
[2026-03-22 17:25:21.806] [INFO] [TIME] Funding in 04:38.193
[2026-03-22 17:25:21.907] [INFO] [TIME] Funding in 04:38.092
[2026-03-22 17:25:22.008] [INFO] [TIME] Funding in 04:37.992
[2026-03-22 17:25:22.109] [INFO] [TIME] Funding in 04:37.890
[2026-03-22 17:25:22.210] [INFO] [TIME] Funding in 04:37.789
[2026-03-22 17:25:22.310] [INFO] [TIME] Funding in 04:37.689
[2026-03-22 17:25:22.411] [INFO] [TIME] Funding in 04:37.588
[2026-03-22 17:25:22.512] [INFO] [TIME] Funding in 04:37.487
[2026-03-22 17:25:22.613] [INFO] [TIME] Funding in 04:37.386
[2026-03-22 17:25:22.714] [INFO] [TIME] Funding in 04:37.285
[2026-03-22 17:25:22.815] [INFO] [TIME] Funding in 04:37.184
[2026-03-22 17:25:22.916] [INFO] [TIME] Funding in 04:37.083
[2026-03-22 17:25:23.017] [INFO] [TIME] Funding in 04:36.982
[2026-03-22 17:25:23.118] [INFO] [TIME] Funding in 04:36.881
[2026-03-22 17:25:23.220] [INFO] [TIME] Funding in 04:36.779
[2026-03-22 17:25:23.321] [INFO] [TIME] Funding in 04:36.678
[2026-03-22 17:25:23.422] [INFO] [TIME] Funding in 04:36.577
[2026-03-22 17:25:23.523] [INFO] [TIME] Funding in 04:36.477
[2026-03-22 17:25:23.623] [INFO] [TIME] Funding in 04:36.376
[2026-03-22 17:25:23.724] [INFO] [TIME] Funding in 04:36.275
[2026-03-22 17:25:23.825] [INFO] [TIME] Funding in 04:36.174
[2026-03-22 17:25:23.926] [INFO] [TIME] Funding in 04:36.073
[2026-03-22 17:25:24.026] [INFO] [TIME] Funding in 04:35.973
[2026-03-22 17:25:24.127] [INFO] [TIME] Funding in 04:35.872
[2026-03-22 17:25:24.227] [INFO] [TIME] Funding in 04:35.772
[2026-03-22 17:25:24.328] [INFO] [TIME] Funding in 04:35.671
[2026-03-22 17:25:24.429] [INFO] [TIME] Funding in 04:35.570
[2026-03-22 17:25:24.530] [INFO] [TIME] Funding in 04:35.469
[2026-03-22 17:25:24.630] [INFO] [TIME] Funding in 04:35.369
[2026-03-22 17:25:24.731] [INFO] [TIME] Funding in 04:35.268
[2026-03-22 17:25:24.831] [INFO] [TIME] Funding in 04:35.168
[2026-03-22 17:25:24.932] [INFO] [TIME] Funding in 04:35.067
[2026-03-22 17:25:25.033] [INFO] [TIME] Funding in 04:34.966
[2026-03-22 17:25:25.133] [INFO] [TIME] Funding in 04:34.866
[2026-03-22 17:25:25.234] [INFO] [TIME] Funding in 04:34.765
[2026-03-22 17:25:25.338] [INFO] [TIME] Funding in 04:34.661
[2026-03-22 17:25:25.441] [INFO] [TIME] Funding in 04:34.558
[2026-03-22 17:25:25.543] [INFO] [TIME] Funding in 04:34.456
[2026-03-22 17:25:25.649] [INFO] [TIME] Funding in 04:34.350
[2026-03-22 17:25:25.818] [INFO] [TIME] Funding in 04:34.181
[2026-03-22 17:25:26.018] [INFO] [TIME] Funding in 04:33.982
